"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","gb_pos_md_start","gb_pos_md_split","gb_pct_md_start","gb_pct_md_split","time_md_start","time_md_split"
"btd-gap_z3_t55s_E10","3D_btd-gap_z3_t55s_E10.tif:0027-0212-0952:27",454,45,499,453,315,408,270,10.1321585903084,40.5286343612335,6,12,27,5.5,19.25,"3D_btd-gap_z3_t55s_E10.tif:0023-0094-1337:23",406,357,19,23,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,361,312,20.4845814977974,31.2775330396476,11.9166666666667,15.5833333333333
"btd-gap_z3_t55s_E12","3D_btd-gap_z3_t55s_E12.tif:0031-0220-0970:31",482,36,518,475,311,439,275,8.92116182572614,42.9460580912863,5,14,31,8.25,23.8333333333333,"3D_btd-gap_z3_t55s_E12.tif:0023-0105-1379:23",418,369,19,23,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,382,333,20.746887966805,30.9128630705394,12.8333333333333,16.5
"btd-gap_z3_t55s_E14","3D_btd-gap_z3_t55s_E14.tif:0048-0189-0949:48",476,33,509,342,291,309,258,35.0840336134454,45.7983193277311,20,40,48,18.3333333333333,25.6666666666667,"3D_btd-gap_z3_t55s_E14.tif:0040-0062-1258:40",376,342,36,40,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,343,309,27.9411764705882,35.0840336134454,14.6666666666667,18.3333333333333
"btd-gap_z3_t55s_E3","3D_btd-gap_z3_t55s_E3.tif:0070-0220-0967:70",462,45,507,459,303,414,258,10.3896103896104,44.1558441558442,43,54,70,10.0833333333333,24.75,"3D_btd-gap_z3_t55s_E3.tif:0065-0104-1248:65",369,343,62,65,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,55,150,1,NA,1,FALSE,324,298,29.8701298701299,35.4978354978355,17.4166666666667,20.1666666666667
"btd-gap_z3_t55s_E6","3D_btd-gap_z3_t55s_E6.tif:0046-0219-0964:46",464,43,507,338,300,295,257,36.4224137931034,44.6120689655172,22,40,46,16.5,22,"3D_btd-gap_z3_t55s_E6.tif:0041-0098-1228:41",368,333,37,41,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,4,NA,4,TRUE,325,290,29.9568965517241,37.5,13.75,17.4166666666667
"btd-gap_z3_t55s_E8","3D_btd-gap_z3_t55s_E8.tif:0063-0247-0948:63",507,17,524,334,318,317,301,37.4753451676529,40.6311637080868,29,57,63,25.6666666666667,31.1666666666667,"3D_btd-gap_z3_t55s_E8.tif:0057-0104-1230:57",370,331,53,57,"2020-09-16_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,55,150,2,NA,2,TRUE,353,314,30.3747534516765,38.0670611439842,22,25.6666666666667
"btd-gap2_z3_t55s_E12","3D_btd-gap2_z3_t55s_E12.tif:0072-0219-0979:71",511,24,535,470,328,446,304,12.720156555773,40.5088062622309,47,56,72,8.25,22.9166666666667,"3D_btd-gap2_z3_t55s_E12.tif:0065-0093-1460:64",444,389,60,65,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,420,365,17.8082191780822,28.5714285714286,11.9166666666667,16.5
"btd-gap2_z3_t55s_E7","3D_btd-gap2_z3_t55s_E7.tif:0056-0237-0946:55",499,21,520,354,300,333,279,33.2665330661323,44.0881763527054,26,47,56,19.25,27.5,"3D_btd-gap2_z3_t55s_E7.tif:0046-0106-1336:45",398,365,42,46,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,TRUE,377,344,24.4488977955912,31.062124248497,14.6666666666667,18.3333333333333
"btd-gap2_z3_t55s_E8","3D_btd-gap2_z3_t55s_E8.tif:0066-0212-0967:65",478,37,515,468,325,431,288,9.8326359832636,39.7489539748954,43,51,66,7.33333333333333,21.0833333333333,"3D_btd-gap2_z3_t55s_E8.tif:0061-0098-1377:60",417,369,57,61,"2020-09-17_btd-gap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853718,0.2853718,3,NA,55,195,1,NA,1,FALSE,380,332,20.5020920502092,30.5439330543933,12.8333333333333,16.5
"btd-hisgap1_E7","3D_btd-hisgap1_E7.tif:0066-0221-0988:66",486,39,525,492,311,453,272,6.79012345679013,44.0329218106996,30,40,66,10,36,"3D_btd-hisgap1_E7.tif:0056-0107-1369:56",412,369,51,56,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,300,1,NA,1,FALSE,373,330,23.2510288065844,32.0987654320988,21,26
"btd-hisgap1_E8","3D_btd-hisgap1_E8.tif:0115-0209-0952:115",474,35,509,321,289,286,254,39.662447257384,46.4135021097046,80,107,115,27,35,"3D_btd-hisgap1_E8.tif:0105-0107-1256:105",378,339,100,105,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,300,3,NA,3,TRUE,343,304,27.6371308016878,35.8649789029536,20,25
"eve-Gap_1_E13","3D_eve-Gap_1_E13.tif:0042-0206-0963:41",521,4,525,351,313,347,309,33.3973128598848,40.6909788867562,13,35,42,22,29,"3D_eve-Gap_1_E13.tif:0033-0069-1408:32",408,366,29,33,"2020-01-15_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2749087,0.2749087,3,NA,60,180,1,NA,1,TRUE,404,362,22.4568138195777,30.5182341650672,16,20
"eve-Gap_1_t45s_z3_E1","3D_eve-Gap_1_t45s_z3_E1.tif:0086-0209-0971:85",514,11,525,488,365,477,354,7.19844357976653,31.1284046692607,50,68,86,13.5,27,"3D_eve-Gap_1_t45s_z3_E1.tif:0082-0094-1506:81",441,389,75,82,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,430,378,16.3424124513619,26.4591439688716,18.75,24
"eve-Gap_1_t45s_z3_E11","3D_eve-Gap_1_t45s_z3_E11.tif:0096-0203-0962:95",515,8,523,378,309,370,301,28.1553398058252,41.5533980582524,49,81,96,24,35.25,"3D_eve-Gap_1_t45s_z3_E11.tif:0079-0084-1478:78",429,387,74,79,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,45,215,2,NA,2,TRUE,421,379,18.252427184466,26.4077669902913,18.75,22.5
"eve-Gap_1_t45s_z3_E4","3D_eve-Gap_1_t45s_z3_E4.tif:0112-0193-0965:111",511,11,522,472,339,461,328,9.78473581213308,35.8121330724071,76,93,112,12.75,27,"3D_eve-Gap_1_t45s_z3_E4.tif:0107-0086-1452:106",422,379,101,107,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,411,368,19.5694716242661,27.9843444227006,18.75,23.25
"eve-Gap1_t60s_z3_E11","3D_eve-Gap1_t60s_z3_E11.tif:0051-0229-0963:50",504,14,518,495,356,481,342,4.56349206349206,32.1428571428571,26,36,51,10,25,"3D_eve-Gap1_t60s_z3_E11.tif:0048-0105-1526:47",447,394,43,48,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,433,380,14.0873015873016,24.6031746031746,17,22
"eve-Gap1_t60s_z3_E12","3D_eve-Gap1_t60s_z3_E12.tif:0039-0223-0960:38",527,1,528,402,318,401,317,23.9089184060721,39.8481973434535,7,26,39,19,32,"3D_eve-Gap1_t60s_z3_E12.tif:0029-0092-1441:28",418,377,24,29,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,417,376,20.8728652751423,28.6527514231499,17,22
"eve-Gap1_t60s_z3_E16","3D_eve-Gap1_t60s_z3_E16.tif:0070-0204-0986:69",504,20,524,478,302,458,282,9.12698412698413,44.047619047619,41,53,70,12,29,"3D_eve-Gap1_t60s_z3_E16.tif:0063-0077-1449:62",430,369,58,63,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,410,349,18.6507936507936,30.7539682539683,17,22
"eve-Gap1_t60s_z3_E2","3D_eve-Gap1_t60s_z3_E2.tif:0038-0197-0974:37",512,13,525,394,366,381,353,25.5859375,31.0546875,6,28,38,22,32,"3D_eve-Gap1_t60s_z3_E2.tif:0027-0073-1498:26",431,396,23,27,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,418,383,18.359375,25.1953125,17,21
"eve-Gap1_t60s_z3_E3","3D_eve-Gap1_t60s_z3_E3.tif:0087-0205-0978:86",517,11,528,366,341,355,330,31.3346228239845,36.1702127659574,53,79,87,26,34,"3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73",449,400,69,74,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,438,389,15.2804642166344,24.7582205029014,16,21
"eve-Gap1_t60s_z3_E4","3D_eve-Gap1_t60s_z3_E4.tif:0046-0226-0976:45",518,10,528,475,318,465,308,10.2316602316602,40.5405405405405,16,31,46,15,30,"3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39",418,380,36,40,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,408,370,21.2355212355212,28.5714285714286,20,24
"eve-Gap1_t60s_z3_E5","3D_eve-Gap1_t60s_z3_E5.tif:0082-0202-0977:81",486,26,512,457,329,431,303,11.3168724279835,37.6543209876543,60,71,82,11,22,"3D_eve-Gap1_t60s_z3_E5.tif:0081-0076-1346:80",400,342,76,81,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,374,316,23.0452674897119,34.9794238683128,16,21
"eve-Gap1_t60s_z3_E9","3D_eve-Gap1_t60s_z3_E9.tif:0041-0195-0967:40",499,17,516,468,326,451,309,9.61923847695391,38.0761523046092,14,25,41,11,27,"3D_eve-Gap1_t60s_z3_E9.tif:0038-0073-1334:37",385,351,34,38,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,368,334,26.25250501002,33.0661322645291,20,24
"prd-Gap_1_t60s_E1","3D_prd-Gap_1_t60s_E1.tif:0080-0266-0984:79",504,29,533,500,362,471,333,6.54761904761905,33.9285714285714,60,66,80,6,20,"3D_prd-Gap_1_t60s_E1.tif:0076-0105-1480:75",446,399,72,76,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,417,370,17.2619047619048,26.5873015873016,12,16
"prd-Gap_1_t60s_E10","3D_prd-Gap_1_t60s_E10.tif:0067-0287-0998:66",482,44,526,439,316,395,272,18.0497925311203,43.5684647302905,46,55,67,9,21,"3D_prd-Gap_1_t60s_E10.tif:0062-0187-1318:61",398,354,58,62,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,354,310,26.5560165975104,35.6846473029046,12,16
"prd-Gap_1_t60s_E11","3D_prd-Gap_1_t60s_E11.tif:0054-0285-1000:53",493,39,532,373,324,334,285,32.2515212981745,42.1906693711968,26,44,54,18,28,"3D_prd-Gap_1_t60s_E11.tif:0043-0160-1467:42",453,383,37,43,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,414,344,16.0243407707911,30.2231237322515,11,17
"prd-Gap_1_t60s_E12","3D_prd-Gap_1_t60s_E12.tif:0076-0233-0967:75",482,35,517,341,320,306,285,36.5145228215768,40.8713692946058,48,69,76,21,28,"3D_prd-Gap_1_t60s_E12.tif:0068-0112-1328:67",408,350,62,68,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,TRUE,373,315,22.6141078838174,34.6473029045643,14,20
"prd-Gap_1_t60s_E13","3D_prd-Gap_1_t60s_E13.tif:0071-0277-0990:70",523,21,544,336,303,315,282,39.7705544933078,46.0803059273423,40,61,71,21,31,"3D_prd-Gap_1_t60s_E13.tif:0058-0150-1380:57",425,362,53,58,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,3,NA,3,TRUE,404,341,22.7533460803059,34.7992351816444,13,18
"prd-Gap_1_t60s_E15","3D_prd-Gap_1_t60s_E15.tif:0072-0296-0992:71",462,52,514,459,311,407,259,11.9047619047619,43.9393939393939,49,57,72,8,23,"3D_prd-Gap_1_t60s_E15.tif:0068-0194-1268:67",385,338,63,68,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,333,286,27.9220779220779,38.0952380952381,14,19
"prd-Gap_1_t60s_E16","3D_prd-Gap_1_t60s_E16.tif:0073-0272-0994:72",485,41,526,313,303,272,262,43.9175257731959,45.979381443299,46,64,73,18,27,"3D_prd-Gap_1_t60s_E16.tif:0060-0148-1315:59",397,354,56,60,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,356,313,26.5979381443299,35.4639175257732,10,14
"prd-Gap_1_t60s_E2","3D_prd-Gap_1_t60s_E2.tif:0078-0233-0990:77",489,38,527,391,339,353,301,27.8118609406953,38.4458077709611,53,72,78,19,25,"3D_prd-Gap_1_t60s_E2.tif:0072-0133-1463:71",444,391,67,72,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,406,353,16.9734151329243,27.8118609406953,14,19
"prd-Gap_1_t60s_E3","3D_prd-Gap_1_t60s_E3.tif:0073-0240-0968:72",464,44,508,473,341,429,297,7.54310344827587,35.9913793103448,52,59,73,7,21,"3D_prd-Gap_1_t60s_E3.tif:0069-0118-1382:68",409,380,65,69,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,365,336,21.3362068965517,27.5862068965517,13,17
"prd-Gap_1_t60s_E4","3D_prd-Gap_1_t60s_E4.tif:0079-0236-0978:78",500,29,529,369,332,340,303,32,39.4,52,72,79,20,27,"3D_prd-Gap_1_t60s_E4.tif:0073-0120-1374:72",423,361,67,73,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,394,332,21.2,33.6,15,21
"prd-Gap_1_t60s_E5","3D_prd-Gap_1_t60s_E5.tif:0078-0247-0999:77",506,32,538,492,354,460,322,9.09090909090909,36.3636363636364,58,63,78,5,20,"3D_prd-Gap_1_t60s_E5.tif:0075-0118-1427:74",435,379,69,75,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,403,347,20.3557312252965,31.4229249011858,11,17
"prd-Gap_1_t60s_E6","3D_prd-Gap_1_t60s_E6.tif:0070-0274-0974:69",492,32,524,479,359,447,327,9.14634146341463,33.5365853658537,49,56,70,7,21,"3D_prd-Gap_1_t60s_E6.tif:0068-0133-1445:67",444,380,62,68,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,412,348,16.260162601626,29.2682926829268,13,19
"prd-Gap_1_t60s_E7","3D_prd-Gap_1_t60s_E7.tif:0045-0254-0992:44",480,43,523,475,373,432,330,10,31.25,28,35,45,7,17,"3D_prd-Gap_1_t60s_E7.tif:0047-0120-1329:46",409,349,42,47,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,366,306,23.75,36.25,14,19
"prd-Gap_1_t60s_E8","3D_prd-Gap_1_t60s_E8.tif:0084-0246-0962:83",485,32,517,390,319,358,287,26.1855670103093,40.8247422680412,59,74,84,15,25,"3D_prd-Gap_1_t60s_E8.tif:0077-0116-1351:76",413,358,72,77,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,381,326,21.4432989690722,32.7835051546392,13,18
"prd-Gap_1_t60s_E9","3D_prd-Gap_1_t60s_E9.tif:0088-0273-0981:87",502,29,531,356,337,327,308,34.8605577689243,38.6454183266932,54,77,88,23,34,"3D_prd-Gap_1_t60s_E9.tif:0073-0127-1421:72",430,380,68,73,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,3,NA,3,TRUE,401,351,20.1195219123506,30.0796812749004,14,19
"rgap_1b_z3_t60s_E1","3D_rgap_1b_z3_t60s_E1.tif:0075-0215-0999:74",502,35,537,496,316,461,281,8.16733067729083,44.0239043824701,45,55,75,10,30,"3D_rgap_1b_z3_t60s_E1.tif:0069-0097-1355:68",425,350,63,69,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,390,315,22.3107569721116,37.2509960159363,18,24
"rgap_1b_z3_t60s_E11","3D_rgap_1b_z3_t60s_E11.tif:0074-0215-0992:73",493,37,530,478,322,441,285,10.5476673427992,42.1906693711968,47,52,74,5,27,"3D_rgap_1b_z3_t60s_E11.tif:0063-0099-1386:62",417,375,60,63,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,380,338,22.920892494929,31.4401622718053,13,16
"rgap_1b_z3_t60s_E12","3D_rgap_1b_z3_t60s_E12.tif:0074-0240-0988:73",515,25,540,504,321,479,296,6.99029126213591,42.5242718446602,46,53,74,7,28,"3D_rgap_1b_z3_t60s_E12.tif:0065-0147-1413:64",435,373,60,65,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,410,348,20.3883495145631,32.4271844660194,14,19
"rgap_1b_z3_t60s_E13","3D_rgap_1b_z3_t60s_E13.tif:0063-0218-0979:62",497,31,528,481,302,450,271,9.45674044265593,45.4728370221328,35,43,63,8,28,"3D_rgap_1b_z3_t60s_E13.tif:0054-0113-1362:53",416,362,49,54,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,385,331,22.5352112676056,33.4004024144869,14,19
"rgap_1b_z3_t60s_E14","3D_rgap_1b_z3_t60s_E14.tif:0061-0228-0984:60",493,35,528,491,319,456,284,7.50507099391481,42.393509127789,30,39,61,9,31,"3D_rgap_1b_z3_t60s_E14.tif:0052-0129-1385:51",425,366,47,52,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,390,331,20.8924949290061,32.8600405679513,17,22
"rgap_1b_z3_t60s_E15","3D_rgap_1b_z3_t60s_E15.tif:0081-0249-0998:80",508,31,539,494,328,463,297,8.85826771653542,41.5354330708661,48,58,81,10,33,"3D_rgap_1b_z3_t60s_E15.tif:0071-0179-1415:70",434,375,66,71,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,403,344,20.6692913385827,32.2834645669291,18,23
"rgap_1b_z3_t60s_E16","3D_rgap_1b_z3_t60s_E16.tif:0053-0254-0976:52",502,28,530,480,312,452,284,9.9601593625498,43.4262948207171,24,33,53,9,29,"3D_rgap_1b_z3_t60s_E16.tif:0047-0130-1326:46",409,349,41,47,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,381,321,24.1035856573705,36.0557768924303,17,23
"rgap_1b_z3_t60s_E17","3D_rgap_1b_z3_t60s_E17.tif:0078-0245-0983:77",508,27,535,491,317,464,290,8.66141732283464,42.9133858267717,44,55,78,11,34,"3D_rgap_1b_z3_t60s_E17.tif:0068-0160-1397:67",434,365,62,68,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,407,338,19.8818897637795,33.4645669291339,18,24
"rgap_1b_z3_t60s_E2","3D_rgap_1b_z3_t60s_E2.tif:0088-0270-0981:87",483,39,522,477,308,438,269,9.3167701863354,44.3064182194617,61,69,88,8,27,"3D_rgap_1b_z3_t60s_E2.tif:0080-0170-1333:79",409,352,75,80,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,370,313,23.3954451345756,35.1966873706004,14,19
"rgap_1b_z3_t60s_E3","3D_rgap_1b_z3_t60s_E3.tif:0050-0255-0968:49",487,33,520,490,330,457,297,6.16016427104724,39.0143737166324,27,34,50,7,23,"3D_rgap_1b_z3_t60s_E3.tif:0046-0164-1385:45",422,370,42,46,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,389,337,20.1232032854209,30.8008213552361,15,19
"rgap_1b_z3_t60s_E4","3D_rgap_1b_z3_t60s_E4.tif:0074-0212-0970:73",492,31,523,488,315,457,284,7.11382113821138,42.2764227642276,50,54,74,4,24,"3D_rgap_1b_z3_t60s_E4.tif:0065-0091-1404:64",426,376,61,65,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,395,345,19.7154471544715,29.8780487804878,11,15
"rgap_1b_z3_t60s_E5","3D_rgap_1b_z3_t60s_E5.tif:0074-0198-0974:73",491,33,524,474,337,441,304,10.183299389002,38.0855397148676,54,60,74,6,20,"3D_rgap_1b_z3_t60s_E5.tif:0072-0093-1371:71",420,364,67,72,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,387,331,21.1812627291242,32.5865580448065,13,18
"rgap_1b_z3_t60s_E6","3D_rgap_1b_z3_t60s_E6.tif:0077-0237-0987:76",491,37,528,467,326,430,289,12.4236252545825,41.1405295315682,53,60,77,7,24,"3D_rgap_1b_z3_t60s_E6.tif:0071-0144-1365:70",415,365,66,71,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,378,328,23.0142566191446,33.1975560081466,13,18
"rgap_1b_z3_t60s_E7","3D_rgap_1b_z3_t60s_E7.tif:0070-0191-0991:69",491,38,529,483,323,445,285,9.36863543788188,41.9551934826884,44,50,70,6,26,"3D_rgap_1b_z3_t60s_E7.tif:0064-0088-1330:63",407,354,59,64,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,369,316,24.847250509165,35.6415478615071,15,20
"rgap_1b_z3_t60s_E8","3D_rgap_1b_z3_t60s_E8.tif:0063-0225-0970:62",503,26,529,502,309,476,283,5.36779324055667,43.7375745526839,37,40,63,3,26,"3D_rgap_1b_z3_t60s_E8.tif:0054-0106-1412:53",435,372,49,54,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,409,346,18.6878727634195,31.2127236580517,12,17
"rgap_1b_z3_t60s_E9","3D_rgap_1b_z3_t60s_E9.tif:0084-0187-0974:83",503,27,530,486,313,459,286,8.74751491053678,43.1411530815109,56,62,84,6,28,"3D_rgap_1b_z3_t60s_E9.tif:0073-0080-1400:72",435,365,67,73,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,408,338,18.8866799204771,32.8031809145129,11,17
